class,alternative_term,comment,definition,editor_note,has_broad_synonym,has_exact_synonym,has_narrow_synonym,has_related_synonym,hasSynonym,in_subset,label,superclasses
ENVO_03605000,,Periphytic biofilm coats the submerged surfaces in most bodies of water,"Biofilm consisting of a mixture of algae, cyanobacteria, microbes, and detritus.",,,,,Periphyton,,,periphytic biofilm,ENVO_01000156
ENVO_01000158,,,Marine snow is a continuous shower of mostly organic detritus falling from the upper layers of the water column. Its origin lies in activities within the productive photic zone.,,,,,,,envoPolar,marine snow,ENVO_01001103
ENVO_01001059,Mock community,Mock communities are typically used as positive controls in experiments.,A cell culture which is composed of a microbial community of known composition.,,,,,,,envoEmpo,mock community culture,ENVO_02000008
ENVO_01001059,Mock community,Mock communities are typically used as positive controls in experiments.,A cell culture which is composed of a microbial community of known composition.,,,,,,,envoOmics,mock community culture,ENVO_02000008
ENVO_01001060,Single strain,,A cell culture which is composed of a single population of bacterial or archaeal cells.,,,,,,,envoEmpo,single strain cell culture,ENVO_02000008
ENVO_01001060,Single strain,,A cell culture which is composed of a single population of bacterial or archaeal cells.,,,,,,,envoOmics,single strain cell culture,ENVO_02000008
ENVO_01001392,,Gill tissue material which is part of salt-water mussel in the family Mytilidae,,,,,,,,,mussel gill tissue material,ENVO_01001391
ENVO_00002018,,,"Wastewater that is contaminated with feces or urine,",,,,,,,,sewage,ENVO_00002001
ENVO_00002193,,,,,,,,,,,pulp-bleaching waste water,ENVO_00002001
ENVO_01000964,,,Wastewater which is produced by industrial activity and which contains chemical contaminants other than those associated with urine and fecal matter.,,,,,,,,industrial wastewater,ENVO_00002001
ENVO_00002003,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,faeces material,,droppings,,,fecal material,ENVO_02000022
ENVO_00002003,,This is distinct from classes such as http://purl.obolibrary.org/obo/UBERON_0001988 in that it refers to the environmental material composed primarily of feces rather than 'just' feces.,"An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,faeces material,,droppings,,,fecal material,ENVO_02000022
ENVO_00002003,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,faeces material,,frass,,,fecal material,ENVO_02000022
ENVO_00002003,,This is distinct from classes such as http://purl.obolibrary.org/obo/UBERON_0001988 in that it refers to the environmental material composed primarily of feces rather than 'just' feces.,"An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,faeces material,,frass,,,fecal material,ENVO_02000022
ENVO_00002003,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,faeces material,,pellet,,,fecal material,ENVO_02000022
ENVO_00002003,,This is distinct from classes such as http://purl.obolibrary.org/obo/UBERON_0001988 in that it refers to the environmental material composed primarily of feces rather than 'just' feces.,"An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,faeces material,,pellet,,,fecal material,ENVO_02000022
ENVO_00002003,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,feces material,,droppings,,,fecal material,ENVO_02000022
ENVO_00002003,,This is distinct from classes such as http://purl.obolibrary.org/obo/UBERON_0001988 in that it refers to the environmental material composed primarily of feces rather than 'just' feces.,"An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,feces material,,droppings,,,fecal material,ENVO_02000022
ENVO_00002003,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,feces material,,frass,,,fecal material,ENVO_02000022
ENVO_00002003,,This is distinct from classes such as http://purl.obolibrary.org/obo/UBERON_0001988 in that it refers to the environmental material composed primarily of feces rather than 'just' feces.,"An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,feces material,,frass,,,fecal material,ENVO_02000022
ENVO_00002003,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,feces material,,pellet,,,fecal material,ENVO_02000022
ENVO_00002003,,This is distinct from classes such as http://purl.obolibrary.org/obo/UBERON_0001988 in that it refers to the environmental material composed primarily of feces rather than 'just' feces.,"An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.",,,feces material,,pellet,,,fecal material,ENVO_02000022
ENVO_00002047,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of urine, a liquid excreta containing water and waste products made by the kidneys, stored in the bladder, and leaves the body through the urethra.",,,,,,,,urine material,ENVO_02000022
ENVO_02000025,,"ENVO bodily fluid classes differ from UBERON's treatment of bodily fluids. UBERON refers to the substance itself (""S""). We assert that UBERON's classes are the primary compositional component of the terms in ENVO (""S material""). Use of the ENVO terms is typically recommended when you wish to indicate that there may be other materials intermixed with S.","An excreta material which is composed primarily of sweat, an excreta consisting primarily of water as well as a smaller amount of sodium chloride that is excreted by the sweat glands in the skin of mammals.",,,,,,,,sweat material,ENVO_02000022
ENVO_00002206,,,,,coal mine waste,,,coal refuse,,,coal mine waste material,"ENVO_01000813, ENVO_00002267"
ENVO_00002266,,,,,chicken breeding waste,,,chicken yard waste,,,chicken breeding waste material,ENVO_01000371
ENVO_00002873,,,,This should probably be merged with biological waste material.,organic waste,,,,,,organic waste material,ENVO_01000373
ENVO_00005800,,,Sand which is part of a desert.,,,,,,,,desert sand,"ENVO_01000813, ENVO_01000017"
ENVO_00002138,,,,,,,,,,,beach sand,"ENVO_01000813, ENVO_01000017"
ENVO_00005798,,,,,,,,,,,acid dune sand,"ENVO_01000813, ENVO_01000017"
ENVO_00002118,,,,,,,,,,,sea sand,ENVO_01000017
ENVO_00005799,,,,,,,,,,,rocky sand,ENVO_01000017
ENVO_01000350,,"Requested in Issue 116 as part of the annotation of metagenomic submissions present in the European Nucleotide Archive.
",Autoclaved sand is sand that has been sterlised by exposure to high pressure saturated steam at at least 121 degrees Celsius.,,,,,,,,autoclaved sand,ENVO_01000017
ENVO_06105272,,"Some authorities consider this a soil type, composed of 70-86% of sand, 0-30% of silt and 0-15% of clay. Others consider this a soil material that contains at the upper limit 85 to 90% sand, and the percentage of silt plus 1.5 times the percentage of clay is not less than 15, at the lower limit it contains not less than 70 to 85% sand, and the percentage of silt plus twice the percentage of clay does not exceed 30.",Soil which is primarily composed of sand with silt and clay in progressively smaller proportions.,,,,,,,,loamy sand,ENVO_01000017
ENVO_06105273,,"Thresholds for what particle size is considered ""fine"" vary by region and authority, as well as the tolerance for proportions of other particle sizes.",Sand which is composed primarily of fine particles.,,,,,,,,fine sand,ENVO_01000017
ENVO_00000546,,,"Lake sediment is sediment which covers the bottom of a lake. Lake sediments are comprised mainly of clastic material (sediment of clay, silt, and sand sizes), organic debris, chemical precipitates, or combinations of these.",,,,,SedimentLayer,,,lake sediment,ENVO_00002007
ENVO_00002045,,,Sediment characterised by the absence of oxygen.,,,anoxic sediment,,,,envoPolar,anaerobic sediment,ENVO_00002007
ENVO_03000033,,"Particles of marine sediment are primarily generated by 1) processes in terrestrial systems and transported to the marine realm by the action of rivers or aeolian processes (amongst other routes) , 2) marine organisms, 3) chemical processes in seawater, or 4) cosmogeneous input.","Sediment which has been transported through the marine water column, settling on the seafloor.",,,marine sediments,,,,envoPolar,marine sediment,ENVO_00002007
ENVO_00002114,,,Sediment which has increased levels of one or more chemical compounds.,,,,,,,,chemically enriched sediment,ENVO_00002007
ENVO_00002127,,Revise adjacent to. Consider sampled stream sediment. Dry stream sediment.,,,,,,,,,stream sediment,ENVO_00002007
ENVO_00002179,,,,,,,,,,,intertidal sediment,ENVO_00002007
ENVO_01000070,,,"Sediment comprised of weathered continental rocks, wind blown dust, volcanic ash or other terrestrial material.",,,,,,,,terrigenous sediment,ENVO_00002007
ENVO_01000082,,,"Biogenous sediment is derived from living organisms, typically planktonic organisms possessing shells, frustules or coccoliths.",,,,,,,envoPolar,biogenous sediment,ENVO_00002007
ENVO_01000110,,,Hydrogenous sediment is derived from solutes that precipitate out of sea water by a variety of chemical reactions. These are typically less abundant than other sediment types.,,,,,,,,hydrogenous sediment,ENVO_00002007
ENVO_01000111,,,Cosmogenous sediment is derived from extraterrestrial dust and debris in the form of meteorites and similar entities.,,,,,,,,cosmogenous sediment,ENVO_00002007
ENVO_01000113,,,"Suspended sediment, or suspended load, is the term for the particles settle  slowly enough to be carried in flowing water (such as a stream or coastal area) either without touching the bed or while only intermittently touching it. These particles are generally of the fine sand, silt and clay size, although larger particles may be carried as well depending on the intensity of the flow.",,,,,,,,suspended sediment,ENVO_00002007
ENVO_01000114,,,Sediment characterised by an average particle diameter greater than 256 mm.,,,,,,,,boulder sediment,ENVO_00002007
ENVO_01000115,,,Sediment characterised by an average particle diameter between 64 and 256 mm.,,,,,,,,cobble sediment,ENVO_00002007
ENVO_01000116,,,Sediment characterised by an average particle diameter between 4 and 32 mm.,,,,,,,,pebble sediment,ENVO_00002007
ENVO_01000117,,,Sediment characterised by an average particle diameter between 2 and 4 mm.,,,,,,,,granular sediment,ENVO_00002007
ENVO_01000118,,,Sediment characterised by an average particle diameter between 62.5 micrometers and 2 mm.,,,,,,,,sandy sediment,ENVO_00002007
ENVO_01000119,,,Sediment characterised by an average particle diameter between 3.9 and 62.5 micrometers.,,,,,,,,silty sediment,ENVO_00002007
ENVO_01000120,,,Sediment characterised by an average particle diameter between 1 and 3.9 micrometers.,,,,,,,,clay sediment,ENVO_00002007
ENVO_01000121,,"Note that by the particle-size-based definition used here, colloidal sediment need not actually be a colloid. If that is the case, please use ""suspended colloidal sediment"".",Sediment characterised by an average particle diameter below 1 micrometer.,,,,,,,,colloidal sediment,ENVO_00002007
ENVO_01000131,,,Sediment characterised by a temperature of 15-45 degrees Celsius and high-to-low oxygenation. Often impacted by hydrothermal fluid flows.,,,,,,,,mesophilic sediment,ENVO_00002007
ENVO_01000132,,,Sediment characterised by a temperature of 45-75 degrees Celsius and low to no oxygen content. Often impacted by hydrothermal fluid flows.,,,,,,,,thermophilic sediment,ENVO_00002007
ENVO_01000133,,,Sediment characterised by a temperature of 80-125 degrees Celsius and no oxygen content. Often impacted by hydrothermal fluid flows.,,,,,,,,hyperthermophilic sediment,ENVO_00002007
ENVO_01001028,,"We do not specify numeric thresholds for saline vs. non-saline here, as this is variable. Consider specifying this on the information and/or data layer for your purposes. If you require an ENVO class with a fixed threshold, please request one using our issue tracker.",Sediment which has its porespace filled by water which has very low levels of sodium chloride and/or other salts.,,,,,,,envoEmpo,sediment permeated by freshwater,ENVO_00002007
ENVO_01001028,,"We do not specify numeric thresholds for saline vs. non-saline here, as this is variable. Consider specifying this on the information and/or data layer for your purposes. If you require an ENVO class with a fixed threshold, please request one using our issue tracker.",Sediment which has its porespace filled by water which has very low levels of sodium chloride and/or other salts.,,,,,,,envoOmics,sediment permeated by freshwater,ENVO_00002007
ENVO_01001036,,"We do not specify numeric thresholds for saline vs. non-saline here, as this is variable. Consider specifying this on the information and/or data layer for your purposes. If you require an ENVO class with a fixed threshold, please request one using our issue tracker.",Sediment which has its porespace filled by water with increased levels of sodium chloride and other salts.,,,,,,,envoEmpo,sediment permeated by saline water,ENVO_00002007
ENVO_01001036,,"We do not specify numeric thresholds for saline vs. non-saline here, as this is variable. Consider specifying this on the information and/or data layer for your purposes. If you require an ENVO class with a fixed threshold, please request one using our issue tracker.",Sediment which has its porespace filled by water with increased levels of sodium chloride and other salts.,,,,,,,envoOmics,sediment permeated by saline water,ENVO_00002007
ENVO_01001203,,,Sediment which has been transported by flowing water and redeposited in a non-marine setting.,,,,,,,,alluvial sediment,ENVO_00002007
ENVO_01001821,,,"Sediment through which hydrothermally modified fluids flow, altering its properties through interaction with their own.",,,,,,,,hydrothermally-influenced sediment,ENVO_00002007
ENVO_01001396,,,Clay which is part of an abyssal plain.,,,,,,,,abyssal clay,"ENVO_01000813, ENVO_00002982"
ENVO_06105279,,"Some authorities consider sandy clay to be a soil composed of 45-65% of sand, 0-20% of silt and 35-55% of clay. If the proportion of sand exceeds that of clay, it is unclear whether this is still considered clay (due to other properties) or whether a new class ""clay sand"" should be created.",Clay which has a high proportion of sand in its composition.,If this is a soil (in which case the differntia must be made clear) it should be moved (or a new class created) and labelled 'sandy clay soil'.,,,,,,,sandy clay,ENVO_00002982
ENVO_06105280,,"Some authorities consider this a soil composed of 0-20% of sand, 40-60% of silt and 40-60% of clay. If the proportion of silt exceeds that of clay, it is unclear whether this is still considered clay (due to other properties) or whether a new class ""clay silt"" should be created.",Clay which has a high proportion of silt in its composition.,If this is a soil (in which case the differntia must be made clear) it should be moved (or a new class created) and labelled 'silty clay soil'.,,,,,,,silty clay,ENVO_00002982
ENVO_01001651,,,Waterborne particulate matter which is part of a hydrosphere.,,,,,,,,particulate matter in a hydrosphere,ENVO_01000436
ENVO_04000013,,,Particulate organic matter which is composed primarily of carbon.,,,,,,,envoNceas,particulate organic carbon,ENVO_04000012
ENVO_04000014,,,Particulate organic matter which is composed primarily of nitrogen.,,,,,,,envoNceas,particulate organic nitrogen,ENVO_04000012
ENVO_00002171,,,,,,,,,,,hay compost,ENVO_00002170
ENVO_00003033,,,"A compost which generally consists of a combination of wheat straw, dried blood, horse manure and ground chalk, composted together and is the residual compost waste generated by industrial mushroom production.",,,,,,,,mushroom compost,ENVO_00002170
ENVO_00003032,,,,,,,,,,,fresh animal manure,ENVO_00003031
ENVO_00003859,,,,,,,,,,,horse manure,ENVO_00003031
ENVO_00003860,,,Manure which is primarily composed of pig feces.,,,,,,,,pig manure,ENVO_00003031
ENVO_00003884,,,,,,,,,,,farmyard manure,ENVO_00003031
ENVO_00003927,,,,,,,,,,,stable manure,ENVO_00003031
ENVO_01001116,,,"Manure which has been collected directly or indirectly from dairy cattle, as from flushing of manure from concrete feed lanes, free stalls, and milking facilities.",,,,,,,,bovine dairy liquid manure,ENVO_00003031
ENVO_01001117,,,Manure which is composed primarily of the feces of poultry.,,,,,,,,poultry manure,ENVO_00003031
ENVO_01001118,,,Manure which has been subjected to heat treatment for solidification and/or sterilization purposes.,,,,,,,,heat-treated animal manure,ENVO_00003031
ENVO_01001119,,,Manure which has been subjected to a natural process of 'rotting' or decomposition of its organic matter content by microorganisms under controlled conditions.,,,,,,,,composted animal manure,ENVO_00003031
ENVO_02000084,,,,,,,,,,,goat manure,ENVO_00003031
ENVO_00003908,,,,,,,,,,,poultry deep litter,ENVO_00002192
ENVO_00002984,,,"A naturally occurring flammable liquid consisting of a complex mixture of hydrocarbons of various molecular weights and other liquid organic compounds, that are found in geologic formations beneath the planetary surfaces.",,,,,crude oil,,,petroleum,ENVO_00002985
ENVO_00002983,,"Oils having a flash point of approximately 42 degrees Celsius and oils burned in cotton or wool-wick burners are not typically considered fuel oils. The term fuel oil is also used in a stricter sense to refer only to the heaviest commercial fuel that can be obtained from crude oil, i.e., heavier than gasoline and naphtha.","An oil which 1) is liquid at room temperature (approximately 20 degrees Celsius) 2) is intended to be burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power, 3) is obtained from petroleum distillation, either as a distillate or a residue, 4) composed of long hydrocarbon chains, particularly alkanes, cycloalkanes and aromatics.",,,furnace oil,,,,,fuel oil,ENVO_00002985
ENVO_00002983,,"Oils having a flash point of approximately 42 degrees Celsius and oils burned in cotton or wool-wick burners are not typically considered fuel oils. The term fuel oil is also used in a stricter sense to refer only to the heaviest commercial fuel that can be obtained from crude oil, i.e., heavier than gasoline and naphtha.","An oil which 1) is liquid at room temperature (approximately 20 degrees Celsius) 2) is intended to be burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power, 3) is obtained from petroleum distillation, either as a distillate or a residue, 4) composed of long hydrocarbon chains, particularly alkanes, cycloalkanes and aromatics.",,,heavy oil,,,,,fuel oil,ENVO_00002985
ENVO_00002983,,"Oils having a flash point of approximately 42 degrees Celsius and oils burned in cotton or wool-wick burners are not typically considered fuel oils. The term fuel oil is also used in a stricter sense to refer only to the heaviest commercial fuel that can be obtained from crude oil, i.e., heavier than gasoline and naphtha.","An oil which 1) is liquid at room temperature (approximately 20 degrees Celsius) 2) is intended to be burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power, 3) is obtained from petroleum distillation, either as a distillate or a residue, 4) composed of long hydrocarbon chains, particularly alkanes, cycloalkanes and aromatics.",,,marine fuel,,,,,fuel oil,ENVO_00002985
ENVO_00003903,,,,,,,,jet fuel,,,aviation fuel,ENVO_00002985
ENVO_01000552,,,"Natural gas is a hydrocarbon gas mixture consisting primarily of methane, but commonly includes varying amounts of other higher alkanes and sometimes a usually lesser percentage of carbon dioxide, nitrogen, and/or hydrogen sulfide. Natural gas is a fossil fuel formed when layers of buried plants and gases are exposed to intense heat and pressure over thousands of years.",,,,,,,,natural gas,ENVO_01000554
ENVO_01000556,,This is distinct from natural gas which is a fossil fuel product.,"Biogas is a mixture of different gases produced by the breakdown of organic matter in the absence of oxygen,  is primarily composed of methane and carbon dioxide, and may have small amounts of hydrogen sulfide, water, and siloxanes.",,,,,,,,biogas,ENVO_01000554
ENVO_01000553,,,"Liquified petroleum gas or liquid petroleum gas (LPG or LP gas), also referred to as simply propane or butane, are flammable mixtures of hydrocarbon gases used as fuel in heating appliances, cooking equipment, and vehicles.",,,LP gas,,liquified natural gas,,,liquefied petroleum gas,ENVO_01000558
ENVO_01000553,,,"Liquified petroleum gas or liquid petroleum gas (LPG or LP gas), also referred to as simply propane or butane, are flammable mixtures of hydrocarbon gases used as fuel in heating appliances, cooking equipment, and vehicles.",,,LPG,,liquified natural gas,,,liquefied petroleum gas,ENVO_01000558
ENVO_01000553,,,"Liquified petroleum gas or liquid petroleum gas (LPG or LP gas), also referred to as simply propane or butane, are flammable mixtures of hydrocarbon gases used as fuel in heating appliances, cooking equipment, and vehicles.",,,liquid petroleum gas,,liquified natural gas,,,liquefied petroleum gas,ENVO_01000558
ENVO_01000557,,,"Liquefied natural gas (LNG) is natural gas (predominantly methane, CH4) that has been converted to liquid form for ease of storage or transport. It takes up about 1/600th the volume of natural gas in the gaseous state. It is odorless, colorless, non-toxic and non-corrosive. LNG achieves a higher reduction in volume than compressed natural gas (CNG) so that the (volumetric) energy density of LNG is 2.4 times greater than that of CNG or 60 percent of that of diesel fuel.",,,liquified natural gas,,,,,liquefied natural gas,ENVO_01000558
ENVO_01000557,,,"Liquefied natural gas (LNG) is natural gas (predominantly methane, CH4) that has been converted to liquid form for ease of storage or transport. It takes up about 1/600th the volume of natural gas in the gaseous state. It is odorless, colorless, non-toxic and non-corrosive. LNG achieves a higher reduction in volume than compressed natural gas (CNG) so that the (volumetric) energy density of LNG is 2.4 times greater than that of CNG or 60 percent of that of diesel fuel.",,,LNG,,,,,liquefied natural gas,ENVO_01000558
ENVO_01001402,,,"An aersolised mass of dust, smoke, or other dry particulates which scatters visible light thus obsscuring visibility through an atmosphere.",,,,,,,envoAtmo,haze,"ENVO_01001089, ENVO_01001652"
ENVO_03000139,,"The suspended particles may be partly ice crystals 20 to 100 micron in diameter, but chiefly, especially when dense, droxtals 12-20 micron in diameter. Ice fog is formed by direct freezing of supercooled water droplets with little growth directly from the vapor. It occurs at very low temperatures, and usually in clear, calm weather in high latitudes. The sun is usually visible and may cause halo phenomena or luminous pillars. Ice fog is rare at temperatures warmer than -30 °C, and increases in frequency with decreasing temperature until it is almost always present at air temperatures of -45 °C in the vicinity of a source of water vapor. Such sources are the open water of fast-flowing streams or of the sea, herds of animals, volcanoes, and especially products of combustion for heating or propulsion. At temperatures warmer than -30 °C, these sources can cause steam fog of liquid water droplets, which may turn into ice fog when cooled.",Fog which is composed of particles of ice.,"In future will add computable renditions of size and temperature constraints. The synonyms of this class can be quite confusing, as they reference entities like frost (which requires a surface for deposition). Might need to add a new droxtal class see https://glossary.ametsoc.org/wiki/Droxtal.",,frozen fog,,air hoar,,envoPolar,ice fog,"ENVO_01001089, ENVO_01000844"
ENVO_03000139,,"The suspended particles may be partly ice crystals 20 to 100 micron in diameter, but chiefly, especially when dense, droxtals 12-20 micron in diameter. Ice fog is formed by direct freezing of supercooled water droplets with little growth directly from the vapor. It occurs at very low temperatures, and usually in clear, calm weather in high latitudes. The sun is usually visible and may cause halo phenomena or luminous pillars. Ice fog is rare at temperatures warmer than -30 °C, and increases in frequency with decreasing temperature until it is almost always present at air temperatures of -45 °C in the vicinity of a source of water vapor. Such sources are the open water of fast-flowing streams or of the sea, herds of animals, volcanoes, and especially products of combustion for heating or propulsion. At temperatures warmer than -30 °C, these sources can cause steam fog of liquid water droplets, which may turn into ice fog when cooled.",Fog which is composed of particles of ice.,"In future will add computable renditions of size and temperature constraints. The synonyms of this class can be quite confusing, as they reference entities like frost (which requires a surface for deposition). Might need to add a new droxtal class see https://glossary.ametsoc.org/wiki/Droxtal.",,frozen fog,,air hoar,,envoCryo,ice fog,"ENVO_01001089, ENVO_01000844"
ENVO_03000139,,"The suspended particles may be partly ice crystals 20 to 100 micron in diameter, but chiefly, especially when dense, droxtals 12-20 micron in diameter. Ice fog is formed by direct freezing of supercooled water droplets with little growth directly from the vapor. It occurs at very low temperatures, and usually in clear, calm weather in high latitudes. The sun is usually visible and may cause halo phenomena or luminous pillars. Ice fog is rare at temperatures warmer than -30 °C, and increases in frequency with decreasing temperature until it is almost always present at air temperatures of -45 °C in the vicinity of a source of water vapor. Such sources are the open water of fast-flowing streams or of the sea, herds of animals, volcanoes, and especially products of combustion for heating or propulsion. At temperatures warmer than -30 °C, these sources can cause steam fog of liquid water droplets, which may turn into ice fog when cooled.",Fog which is composed of particles of ice.,"In future will add computable renditions of size and temperature constraints. The synonyms of this class can be quite confusing, as they reference entities like frost (which requires a surface for deposition). Might need to add a new droxtal class see https://glossary.ametsoc.org/wiki/Droxtal.",,frozen fog,,frost flakes,,envoPolar,ice fog,"ENVO_01001089, ENVO_01000844"
ENVO_03000139,,"The suspended particles may be partly ice crystals 20 to 100 micron in diameter, but chiefly, especially when dense, droxtals 12-20 micron in diameter. Ice fog is formed by direct freezing of supercooled water droplets with little growth directly from the vapor. It occurs at very low temperatures, and usually in clear, calm weather in high latitudes. The sun is usually visible and may cause halo phenomena or luminous pillars. Ice fog is rare at temperatures warmer than -30 °C, and increases in frequency with decreasing temperature until it is almost always present at air temperatures of -45 °C in the vicinity of a source of water vapor. Such sources are the open water of fast-flowing streams or of the sea, herds of animals, volcanoes, and especially products of combustion for heating or propulsion. At temperatures warmer than -30 °C, these sources can cause steam fog of liquid water droplets, which may turn into ice fog when cooled.",Fog which is composed of particles of ice.,"In future will add computable renditions of size and temperature constraints. The synonyms of this class can be quite confusing, as they reference entities like frost (which requires a surface for deposition). Might need to add a new droxtal class see https://glossary.ametsoc.org/wiki/Droxtal.",,frozen fog,,frost flakes,,envoCryo,ice fog,"ENVO_01001089, ENVO_01000844"
ENVO_03000139,,"The suspended particles may be partly ice crystals 20 to 100 micron in diameter, but chiefly, especially when dense, droxtals 12-20 micron in diameter. Ice fog is formed by direct freezing of supercooled water droplets with little growth directly from the vapor. It occurs at very low temperatures, and usually in clear, calm weather in high latitudes. The sun is usually visible and may cause halo phenomena or luminous pillars. Ice fog is rare at temperatures warmer than -30 °C, and increases in frequency with decreasing temperature until it is almost always present at air temperatures of -45 °C in the vicinity of a source of water vapor. Such sources are the open water of fast-flowing streams or of the sea, herds of animals, volcanoes, and especially products of combustion for heating or propulsion. At temperatures warmer than -30 °C, these sources can cause steam fog of liquid water droplets, which may turn into ice fog when cooled.",Fog which is composed of particles of ice.,"In future will add computable renditions of size and temperature constraints. The synonyms of this class can be quite confusing, as they reference entities like frost (which requires a surface for deposition). Might need to add a new droxtal class see https://glossary.ametsoc.org/wiki/Droxtal.",,frozen fog,,frost fog,,envoPolar,ice fog,"ENVO_01001089, ENVO_01000844"
ENVO_03000139,,"The suspended particles may be partly ice crystals 20 to 100 micron in diameter, but chiefly, especially when dense, droxtals 12-20 micron in diameter. Ice fog is formed by direct freezing of supercooled water droplets with little growth directly from the vapor. It occurs at very low temperatures, and usually in clear, calm weather in high latitudes. The sun is usually visible and may cause halo phenomena or luminous pillars. Ice fog is rare at temperatures warmer than -30 °C, and increases in frequency with decreasing temperature until it is almost always present at air temperatures of -45 °C in the vicinity of a source of water vapor. Such sources are the open water of fast-flowing streams or of the sea, herds of animals, volcanoes, and especially products of combustion for heating or propulsion. At temperatures warmer than -30 °C, these sources can cause steam fog of liquid water droplets, which may turn into ice fog when cooled.",Fog which is composed of particles of ice.,"In future will add computable renditions of size and temperature constraints. The synonyms of this class can be quite confusing, as they reference entities like frost (which requires a surface for deposition). Might need to add a new droxtal class see https://glossary.ametsoc.org/wiki/Droxtal.",,frozen fog,,frost fog,,envoCryo,ice fog,"ENVO_01001089, ENVO_01000844"
ENVO_03000139,,"The suspended particles may be partly ice crystals 20 to 100 micron in diameter, but chiefly, especially when dense, droxtals 12-20 micron in diameter. Ice fog is formed by direct freezing of supercooled water droplets with little growth directly from the vapor. It occurs at very low temperatures, and usually in clear, calm weather in high latitudes. The sun is usually visible and may cause halo phenomena or luminous pillars. Ice fog is rare at temperatures warmer than -30 °C, and increases in frequency with decreasing temperature until it is almost always present at air temperatures of -45 °C in the vicinity of a source of water vapor. Such sources are the open water of fast-flowing streams or of the sea, herds of animals, volcanoes, and especially products of combustion for heating or propulsion. At temperatures warmer than -30 °C, these sources can cause steam fog of liquid water droplets, which may turn into ice fog when cooled.",Fog which is composed of particles of ice.,"In future will add computable renditions of size and temperature constraints. The synonyms of this class can be quite confusing, as they reference entities like frost (which requires a surface for deposition). Might need to add a new droxtal class see https://glossary.ametsoc.org/wiki/Droxtal.",,frozen fog,,rime fog,,envoPolar,ice fog,"ENVO_01001089, ENVO_01000844"
